,POPESTIMATE2015,STATE,COUNTY
0,4858979,1,0
1,55347,1,1
2,203709,1,3
3,26489,1,5
4,22583,1,7
5,57673,1,9
6,10696,1,11
7,20154,1,13
8,115620,1,15
9,34123,1,17
10,25859,1,19
11,43943,1,21
12,13170,1,23
13,24675,1,25
14,13555,1,27
15,15018,1,29
16,51211,1,31
17,54354,1,33
18,12672,1,35
19,10724,1,37
20,37835,1,39
21,13963,1,41
22,82005,1,43
23,49565,1,45
24,41131,1,47
25,71130,1,49
26,81468,1,51
27,37789,1,53
28,103057,1,55
29,16759,1,57
30,31696,1,59
31,203976,1,125
32,65294,1,127
33,16804,1,129
34,11059,1,131
35,23877,1,133
36,738432,2,0
37,3341,2,13
38,5702,2,16
39,298695,2,20
40,17946,2,50
41,892,2,60
42,1919,2,68
43,4997,2,70
44,99631,2,90
45,2534,2,100
46,2133,2,105
47,32756,2,110
48,58059,2,122
49,13709,2,130
50,13889,2,150
51,8119,2,158
52,1563,2,164
53,101095,2,170
54,9846,2,180
55,9687,2,185
56,7752,2,188
57,3177,2,195
58,6341,2,198
59,8863,2,220
60,1057,2,230
61,6839,2,240
62,9362,2,261
63,2382,2,275
64,613,2,282
65,5533,2,290
66,6828065,4,0
67,71474,4,1
68,126427,4,3
69,139097,4,5
70,53159,4,7
71,37666,4,9
72,9529,4,11
73,20152,4,12
74,4167947,4,13
75,204737,4,15
76,108277,4,17
77,1010025,4,19
78,406584,4,21
79,46461,4,23
80,222255,4,25
81,204275,4,27
82,2978204,5,0
83,18433,5,1
84,20838,5,3
85,41053,5,5
86,249672,5,7
87,37222,5,9
88,11094,5,11
89,5229,5,13
90,27704,5,15
91,11027,5,17
92,22633,5,19
93,15109,5,21
94,25467,5,23
95,26777,1,61
96,8479,1,63
97,15068,1,65
98,17221,1,67
99,104173,1,69
100,52419,1,71
101,660367,1,73
102,13886,1,75
103,92596,1,77
104,33115,1,79
105,156993,1,81
106,91663,1,83
107,10458,1,85
108,19105,1,87
109,353089,1,89
110,20028,1,91
111,30168,1,93
112,94725,1,95
113,415395,1,97
114,21673,1,99
115,226519,1,101
116,119565,1,103
117,9652,1,105
118,20864,1,107
119,33046,1,109
120,22696,1,111
121,59660,1,113
122,87074,1,115
123,208713,1,117
124,13103,1,119
125,80862,1,121
126,40844,1,123
127,8311,5,25
128,24114,5,27
129,21019,5,29
130,104354,5,31
131,61703,5,33
132,48963,5,35
133,17284,5,37
134,7604,5,39
135,11965,5,41
136,18778,5,43
137,121552,5,45
138,17702,5,47
139,12204,5,49
140,97177,5,51
141,18102,5,53
142,44196,5,55
143,22084,5,57
144,33426,5,59
145,13300,5,61
146,37052,5,63
147,13445,5,65
148,17338,5,67
149,71565,5,69
150,26141,5,71
151,6996,5,73
152,16779,5,75
153,9650,5,77
